restriction,data_value,country,date,data_key,institution
without_orcids,4,Australia,01/10/2011,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/11/2011,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/02/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/04/2012,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,19,Australia,01/04/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/05/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/08/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,845,Australia,01/09/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,19,Australia,01/10/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,690,Australia,01/11/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,22,Australia,01/12/2012,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,14,Australia,01/01/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,20,Australia,01/02/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/03/2013,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,46,Australia,01/03/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/04/2013,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,8,Australia,01/04/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/05/2013,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,10,Australia,01/05/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/06/2013,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,125,Australia,01/07/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,173,Australia,01/08/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,57,Australia,01/09/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,26,Australia,01/10/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,71,Australia,01/11/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,4,Australia,01/12/2013,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/01/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,72,Australia,01/02/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,72,Australia,01/03/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,39,Australia,01/04/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,42,Australia,01/05/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,31,Australia,01/06/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/07/2014,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,13,Australia,01/07/2014,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,30,Australia,01/07/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/08/2014,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,136,Australia,01/08/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,7,Australia,01/09/2014,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,37,Australia,01/09/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,30,Australia,01/10/2014,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,40,Australia,01/10/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,63,Australia,01/11/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,5,Australia,01/12/2014,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,147,Australia,01/12/2014,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,57,Australia,01/01/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,75,Australia,01/01/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,10,Australia,01/02/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,251,Australia,01/02/2015,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,3,Australia,01/03/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,19,Australia,01/03/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,81,Australia,01/03/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/04/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,17,Australia,01/04/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,58,Australia,01/04/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/05/2015,other,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/05/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/05/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,11,Australia,01/05/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,135,Australia,01/05/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/06/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,393,Australia,01/06/2015,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/07/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/07/2015,other,ANDS+-+Australian+National+Data+Service
without_orcids,4,Australia,01/07/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,6,Australia,01/07/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,105,Australia,01/07/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/08/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/08/2015,Software,ANDS+-+Australian+National+Data+Service
without_orcids,9,Australia,01/08/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,30,Australia,01/08/2015,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/09/2015,Dataset,ANDS+-+Australian+National+Data+Service
with_orcids,3,Australia,01/09/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,15,Australia,01/09/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,112,Australia,01/09/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/10/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/10/2015,other,ANDS+-+Australian+National+Data+Service
without_orcids,26,Australia,01/10/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,4306,Australia,01/10/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/11/2015,Software,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/11/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,16,Australia,01/11/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,69,Australia,01/11/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/12/2015,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/12/2015,other,ANDS+-+Australian+National+Data+Service
without_orcids,13,Australia,01/12/2015,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,26,Australia,01/12/2015,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/01/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,10,Australia,01/01/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,22,Australia,01/01/2016,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/02/2016,Collection,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/02/2016,other,ANDS+-+Australian+National+Data+Service
without_orcids,2,Australia,01/02/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/02/2016,other,ANDS+-+Australian+National+Data+Service
with_orcids,6,Australia,01/02/2016,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,27,Australia,01/02/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,35,Australia,01/02/2016,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/03/2016,other,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/03/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/03/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/03/2016,other,ANDS+-+Australian+National+Data+Service
without_orcids,64,Australia,01/03/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,8462,Australia,01/03/2016,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/04/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/04/2016,other,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/04/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/04/2016,Text,ANDS+-+Australian+National+Data+Service
without_orcids,7,Australia,01/04/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,17,Australia,01/04/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,14659,Australia,01/04/2016,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/05/2016,Collection,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/05/2016,Dataset,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/05/2016,Text,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/05/2016,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,5,Australia,01/05/2016,Text,ANDS+-+Australian+National+Data+Service
without_orcids,29,Australia,01/05/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,48,Australia,01/05/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,15094,Australia,01/05/2016,Unknown,ANDS+-+Australian+National+Data+Service
with_orcids,1,Australia,01/06/2016,Dataset,ANDS+-+Australian+National+Data+Service
with_orcids,2,Australia,01/06/2016,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,6,Australia,01/06/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,21,Australia,01/06/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,70,Australia,01/06/2016,Text,ANDS+-+Australian+National+Data+Service
without_orcids,103756,Australia,01/06/2016,Unknown,ANDS+-+Australian+National+Data+Service
without_orcids,1,Australia,01/07/2016,Text,ANDS+-+Australian+National+Data+Service
without_orcids,3,Australia,01/07/2016,Software,ANDS+-+Australian+National+Data+Service
without_orcids,8,Australia,01/07/2016,Collection,ANDS+-+Australian+National+Data+Service
without_orcids,8,Australia,01/07/2016,Dataset,ANDS+-+Australian+National+Data+Service
without_orcids,893,Australia,01/07/2016,Unknown,ANDS+-+Australian+National+Data+Service
